Date,Time,Rud,Ele,Thr,Ail,P1,P2,SL2,SA,SD,SE,SF,SG,SH,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-17,33:45.6,0,-2,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:45.7,0,-2,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:45.8,0,-1,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:45.9,0,-2,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.0,0,-2,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.1,0,-2,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.2,0,-2,-1024,1,-1,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1501,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.3,0,-2,-1024,1,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.4,0,-2,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.5,0,-2,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.6,0,-2,-1024,0,-1,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.7,0,-2,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.8,0,-2,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:46.9,0,-1,-1024,0,0,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1500,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
2026-08-17,33:47.0,0,-2,-1024,0,-1,-1024,952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1500,1499,1000,1500,988,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.4
